timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1613685933834,102,HTTP Request - DELETE User,204,No Content,FinalProjectUsingJMeter 1-4,,true,,874,180,3,3,https://reqres.in/api/users/2,0,0,0
1613685933851,96,HTTP Request - POST Regiser User,200,OK,FinalProjectUsingJMeter 1-5,text,true,,945,246,2,2,https://reqres.in/api/register,96,0,0
1613685933861,173,HTTP Request - GET List User,200,OK,FinalProjectUsingJMeter 1-6,text,true,,2009,163,2,2,https://reqres.in/api/users?page=2,173,0,108
1613685933947,92,HTTP Request - PUT Update User,200,OK,FinalProjectUsingJMeter 1-5,text,true,,995,235,2,2,https://reqres.in/api/users/2,92,0,0
1613685934035,111,HTTP Request - POST Create User,201,Created,FinalProjectUsingJMeter 1-6,text,true,,1006,229,2,2,https://reqres.in/api/users,111,0,0
1613685934039,110,HTTP Request - PATCH Update User,200,OK,FinalProjectUsingJMeter 1-5,text,true,,989,237,2,2,https://reqres.in/api/users/2,110,0,0
1613685934150,106,HTTP Request - DELETE User,204,No Content,FinalProjectUsingJMeter 1-5,,true,,874,180,3,3,https://reqres.in/api/users/2,0,0,0
1613685934147,109,HTTP Request - POST Regiser User,200,OK,FinalProjectUsingJMeter 1-6,text,true,,951,246,3,3,https://reqres.in/api/register,109,0,0
1613685934162,165,HTTP Request - GET List User,200,OK,FinalProjectUsingJMeter 1-7,text,true,,2007,163,2,2,https://reqres.in/api/users?page=2,164,0,114
1613685934256,111,HTTP Request - PUT Update User,200,OK,FinalProjectUsingJMeter 1-6,text,true,,995,235,2,2,https://reqres.in/api/users/2,111,0,0
1613685934327,102,HTTP Request - POST Create User,201,Created,FinalProjectUsingJMeter 1-7,text,true,,1003,228,2,2,https://reqres.in/api/users,102,0,0
1613685934367,101,HTTP Request - PATCH Update User,200,OK,FinalProjectUsingJMeter 1-6,text,true,,989,237,3,3,https://reqres.in/api/users/2,101,0,0
1613685934430,103,HTTP Request - POST Regiser User,200,OK,FinalProjectUsingJMeter 1-7,text,true,,947,246,3,3,https://reqres.in/api/register,103,0,0
1613685934468,83,HTTP Request - DELETE User,204,No Content,FinalProjectUsingJMeter 1-6,,true,,870,180,3,3,https://reqres.in/api/users/2,0,0,0
1613685934533,76,HTTP Request - PUT Update User,200,OK,FinalProjectUsingJMeter 1-7,text,true,,995,235,2,2,https://reqres.in/api/users/2,76,0,0
1613685934461,182,HTTP Request - GET List User,200,OK,FinalProjectUsingJMeter 1-8,text,true,,2003,163,2,2,https://reqres.in/api/users?page=2,182,0,121
1613685934610,82,HTTP Request - PATCH Update User,200,OK,FinalProjectUsingJMeter 1-7,text,true,,995,237,2,2,https://reqres.in/api/users/2,81,0,0
1613685934644,123,HTTP Request - POST Create User,201,Created,FinalProjectUsingJMeter 1-8,text,true,,1001,228,3,3,https://reqres.in/api/users,123,0,0
1613685934692,91,HTTP Request - DELETE User,204,No Content,FinalProjectUsingJMeter 1-7,,true,,878,180,3,3,https://reqres.in/api/users/2,0,0,0
1613685934768,97,HTTP Request - POST Regiser User,200,OK,FinalProjectUsingJMeter 1-8,text,true,,951,246,2,2,https://reqres.in/api/register,97,0,0
1613685934764,186,HTTP Request - GET List User,200,OK,FinalProjectUsingJMeter 1-9,text,true,,2013,163,2,2,https://reqres.in/api/users?page=2,186,0,114
1613685934865,107,HTTP Request - PUT Update User,200,OK,FinalProjectUsingJMeter 1-8,text,true,,1001,235,2,2,https://reqres.in/api/users/2,107,0,0
1613685934951,111,HTTP Request - POST Create User,201,Created,FinalProjectUsingJMeter 1-9,text,true,,1004,229,3,3,https://reqres.in/api/users,111,0,0
1613685934972,108,HTTP Request - PATCH Update User,200,OK,FinalProjectUsingJMeter 1-8,text,true,,995,237,3,3,https://reqres.in/api/users/2,108,0,0
1613685935063,114,HTTP Request - POST Regiser User,200,OK,FinalProjectUsingJMeter 1-9,text,true,,955,246,3,3,https://reqres.in/api/register,114,0,0
1613685935081,101,HTTP Request - DELETE User,204,No Content,FinalProjectUsingJMeter 1-8,,true,,870,180,3,3,https://reqres.in/api/users/2,0,0,0
1613685935063,183,HTTP Request - GET List User,200,OK,FinalProjectUsingJMeter 1-10,text,true,,2013,163,2,2,https://reqres.in/api/users?page=2,183,0,117
1613685935177,113,HTTP Request - PUT Update User,200,OK,FinalProjectUsingJMeter 1-9,text,true,,1001,235,2,2,https://reqres.in/api/users/2,113,0,0
1613685935247,102,HTTP Request - POST Create User,201,Created,FinalProjectUsingJMeter 1-10,text,true,,1008,229,2,2,https://reqres.in/api/users,102,0,0
1613685935291,101,HTTP Request - PATCH Update User,200,OK,FinalProjectUsingJMeter 1-9,text,true,,997,237,2,2,https://reqres.in/api/users/2,101,0,0
1613685935350,109,HTTP Request - POST Regiser User,200,OK,FinalProjectUsingJMeter 1-10,text,true,,955,246,2,2,https://reqres.in/api/register,109,0,0
1613685935393,96,HTTP Request - DELETE User,204,No Content,FinalProjectUsingJMeter 1-9,,true,,872,180,2,2,https://reqres.in/api/users/2,0,0,0
1613685935460,101,HTTP Request - PUT Update User,200,OK,FinalProjectUsingJMeter 1-10,text,true,,995,235,1,1,https://reqres.in/api/users/2,101,0,0
1613685935562,105,HTTP Request - PATCH Update User,200,OK,FinalProjectUsingJMeter 1-10,text,true,,995,237,1,1,https://reqres.in/api/users/2,104,0,0
1613685935667,84,HTTP Request - DELETE User,204,No Content,FinalProjectUsingJMeter 1-10,,true,,872,180,1,1,https://reqres.in/api/users/2,0,0,0
